Genus,SpeciesName,Species,Museum,MusID,Sex,Locomotion,FemurHead,NSA,Neck,L2,L4,FTA,PS,PI,AS,AI,TotalArea,SUP,ANT,AcetabDiameter,PelvicBreadth,Abduction,AbductedKnee
Symphalangus,syndactylus,Symphalangus_syndactylus,USNM,519573,2,Suspensory,20.256,126.61,24.663,187.112,18.771,88.979,227.741,173.786,230.031,236.912,868.47,98.184,99.693,21.962,46.806,60.152,228.696
Theropithecus,gelada,Theropithecus_gelada,ZMA,11341,1,Non,20.122,108.467,18.601,186.919,22.363,60.754,212.872,95.523,240.926,227.887,777.208,110.584,112.66,22.439,41.462,45.146,186.621
Theropithecus,gelada,Theropithecus_gelada,USNM,240885,1,Non,21.916,103.704,18.172,188.352,21.813,57.199,247.662,104.902,281.914,243.195,877.673,112.725,111.756,23.811,45.402,38.735,176.191
Theropithecus,gelada,Theropithecus_gelada,USNM,305107,1,Non,20.828,103.414,19.011,182.115,21.609,56.391,231.016,126.319,249.071,224.552,830.958,108.559,106.623,23.023,44.665,31.552,155.325
Theropithecus,gelada,Theropithecus_gelada,UZIA,8555,2,Non,18.224,99.819,14.286,153.992,16.706,60.277,169.767737,72.84535,191.459421,166.417034,600.489542,112.269,97.193,21.514,43.879,34.477,145.019
Theropithecus,gelada,Theropithecus_gelada,UZIA,9300,2,Non,17.726,113.958,14.8,164.332,17.962,65.518,170.816105,94.046842,184.544455,172.343819,621.751221,107.027,100.102,20.508,40.731,49.865,177.082
Theropithecus,gelada,Theropithecus_gelada,UZIA,10351,2,Non,18.15,115.693,14.976,165.084,18.417,66.221,196.843316,111.574124,196.723672,192.89689,698.038002,108.602,100.487,21.664,42.246,44.146,169.301
Theropithecus,gelada,Theropithecus_gelada,UZIA,12108,2,Non,20.236,110.84,16.519,166.973,20.26,64.881,206,97.504,253.382216,229.318055,786.204271,108.338,104.746,23.768,48.053,38.412,165.574
Theropithecus,gelada,Theropithecus_gelada,USNM,319992,2,Non,19.177,104.128,13.436,168.534,15.82,65.229,206.216,84.447,224.024,200.142,714.829,118.04,111.819,21.422,39.71,28.314,127.422
Theropithecus,gelada,Theropithecus_gelada,USNM,354990,2,Non,19.713,105.51,15.109,159.871,16.505,61.99,212.59,107.615,227.24,210.854,758.299,114.02,106.177,21.63,41.267,41.095,157.447
Trachypithecus,cristatus,Trachypithecus_cristatus,ZSM,1906.132,1,Non,14.787,106.091,14.061,166.569,13.805,65.042,108.92,60.183,122.802,94.025,385.93,114.135,101.102,16.873,28.773,40.86,147.299
Trachypithecus,cristatus,Trachypithecus_cristatus,ZSM,1907.705,1,Non,14.589,99.148,12.977,186.422,10.475,67.774,122.923,59.177,129.167,99.36,410.627,120.233,100.602,16.978,28.108,37.89,150.646
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35665,1,Non,15.306,110.571,11.955,161.163,13.615,68.772,142.848661,75.227523,130.568401,123.943921,472.588506,108.812,107.771,16.948,27.961,53.43,166.212
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35666,1,Non,15.838,109.048,11.434,175.467,13.152,68.736,132.075,72.621041,128.26,107.156137,440.112178,109.518,101.638,17.908,31.111,50.389,173.758
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35672,1,Non,14.086,108.289,13.571,165.166,12.635,70.168,113.576225,81.054543,107.061137,92.288399,393.980304,112.311,100.26,16.252,29.447,43.697,155.62
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35685,1,Non,14.796,109.664,12.229,159.201,14.249,67.694,116.664,66.726,118.425,104.834,406.649,106.452,105.451,16.337,31.554,42.171,149.212
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35690,1,Non,13.676,106.229,12.614,155.561,12.031,66.644,105.675171,65.601646,104.642194,92.653079,368.57209,111.282,106.344,15.476,27.567,38.128,133.471
Trachypithecus,cristatus,Trachypithecus_cristatus,USNM,49695,1,Non,14.983,107.91,14.237,169.46,14.717,66.618,116.808,63.912,131.644,110.171,422.535,112.3,103.848,16.453,29.334,46.017,161.714
Trachypithecus,cristatus,Trachypithecus_cristatus,ZSM,1906.147,2,Non,14.092,100.777,12.046,155.078,10.651,67.299,105.384,54.523,118.54,103.235,381.682,117.31,108.558,15.665,28.347,39.967,134.22
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35584,2,Non,14.112,107.339,10.396,163.798,11.77,68.278,110.14836,61.125706,110.150036,89.354459,370.778561,110.339,103.323,15.936,31.459,40.516,148.923
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35603,2,Non,14.236,110.365,12.542,155.688,13.009,69.409,120.610697,76.482299,116.822845,100.89712,414.812961,107.281,97.45,15.96,30.137,50.331,160.883
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35604,2,Non,14.81,114.841,11.734,156.309,13.227,72.577,110.916707,66.375743,115.404,104.121,396.81745,100.298,112.267,15.866,32.645,51.808,166.533
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZ,35605,2,Non,14.963,110.473,13.358,164.077,11.762,73.473,119.623,77.542,118.242,93.775,409.182,109.192,90.046,17.177,33.429,42.297,155.197
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35610,2,Non,13.644,109.037,11.863,148.41,12.237,69.615,117.539,65.428,102.866,103.785463,389.618463,108.343,104.393,15.234,27.439,51.764,153.374
Trachypithecus,cristatus,Trachypithecus_cristatus,MCZH,35678,2,Non,14.342,109.792,12.111,161.534,10.585,75.482,117.073566,68.079105,119.380053,107.513587,412.046311,105.452,101.682,16.341,30.568,47.109,159.568
Trachypithecus,cristatus,Trachypithecus_cristatus,ZMA,42224,2,Non,13.218,109.029,11.222,147.773,11.203,70.164,94.074,52.129,100.337,90.612,337.152,112.346,104.156,14.6,26.283,47.23,144.373
