Sex,Extension,Flexion,Abduction,Adduction,ThighCircumference,ThighLength,BiiliacBreadth,DistanceBetweenKnees,BiepicondylarBreadth,InternalRotation,ExternalRotation
M,130,40,107,80,38,24,24,,6,40,20
M,127,35,106,50,39,30,22,,6,48,30
M,150,34,112,60,34,25,24,,6,48,35
M,123,48,107,42,31,27,19,,5,60,30
M,143,50,110,41,35,23,20,,4,40,45
F,160,32,116,46,27,19,19,,6,54,45
F,131,40,126,60,28,20,20,,6,40,40
F,131,30,120,40,34,21,20,,5,49,44
